Employer,Doing Business As,Account Status,Date Enrolled,Date Terminated,Workforce Size,Number of Hiring Sites,Hiring Site Locations (by state),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fervo Energy Compny,Fervo Energy,Open,1/7/2022,,20 to 99,5,CA, CO, NV, TX, UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FES Investments Inc - DBA Frontline Energy Services,,Open,2/21/2008,,20 to 99,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FESCO Energy,,Open,3/8/2020,,5 to 9,1,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIAMM Energy, LLC",,Open,6/11/2010,,20 to 99,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiasco Enterprises Inc,Energy Transport Logistics,Open,3/28/2018,,20 to 99,7,AZ, CA, NV, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fieldbridge Energy,,Open,10/7/2019,,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fieldbridge Energy,,Terminated,4/17/2018,1/27/2020,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIELDBRIDGE ENERGY,,Open,2/15/2018,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fieldco Energy Services Inc.,,Open,7/7/2011,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fieldwood Energy LLC,,Open,7/7/2014,,500 to 999,2,LA, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fila Mar Energy,,Terminated,1/22/2020,4/21/2023,100 to 499,5,ND, OK, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fila-mar Energy Services LLC,,Open,8/14/2017,,10 to 19,5,LA, TX, UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Filsinger Energy Partners, Inc.",,Open,4/22/2021,,20 to 99,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Financial Energy Management, Inc.",,Open,10/16/2006,,10 to 19,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FireFlower Alternative Energy,FireFlower Alternative Energy,Open,4/10/2019,,5 to 9,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Firestone Energy Services, LLC",Firestone Energy Services,Open,7/10/2020,,20 to 99,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"First Choice Energy Services, LLC",,Open,11/16/2011,,20 to 99,1,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"First Choice Energy Services, LLC.",,Open,11/22/2013,,20 to 99,1,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Energy,,Terminated,5/6/2013,3/2/2020,"10,000 and over",1,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Energy Support Solutions LLC,,Open,3/10/2023,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Texas Energy Corporation,First Texas Energy Corporation,Open,5/29/2013,,10 to 19,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"First Wind Energy, LLC",,Terminated,9/19/2011,4/23/2021,100 to 499,18,CA, DC, HI, MA, ME, NM, NY, OR, UT, VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FirstEnergy - Beaver Valley Power Station,,Terminated,5/2/2005,10/21/2020,"1,000 to 2,499",1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FirstEnergy Corporation,,Open,10/25/2006,,"10,000 and over",150,DC, MI, NJ, OH, PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FirstEnergy Nuclear Operating Co., Perry Nuclear Power Plant",,Terminated,3/25/2005,10/21/2020,500 to 999,1,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FirstEnergy Nuclear Operating Company,,Terminated,1/25/2005,10/21/2020,500 to 999,1,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitiri Energy LLC,,Open,12/27/2014,,5 to 9,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Five Partners Energy Corporation,Taylor Propane,Open,11/28/2014,,5 to 9,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Five Star Energy Inc,Altamaha Propane,Open,12/29/2014,,5 to 9,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flare Energy Services LLC,,Open,1/4/2018,,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flare Energy Services, LLC",,Open,8/2/2022,,20 to 99,4,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flatland Energy Services, LLC",,Open,11/16/2022,,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flatland Energy Services, LLC",,Open,11/9/2022,,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleet Energy Managers LLC,,Open,3/28/2023,,10 to 19,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flexenergy Energy Systems Inc,,Open,12/11/2019,,20 to 99,1,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FlexEnergy Energy Systems, Inc.",,Terminated,2/16/2012,6/27/2021,20 to 99,1,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FlexEnergy, Inc.",,Terminated,2/16/2012,6/27/2021,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flint Energy Services Inc.,,Terminated,2/4/2013,4/30/2021,"2,500 to 4,999",22,CO, LA, ND, NM, OK, PA, TX, UT, WV, WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FLORIDA ENERGY SERVICES, INC",,Open,4/18/2016,,20 to 99,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Energy Solutions Inc,Florida Energy Solutions,Open,11/24/2022,,5 to 9,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FLS Energy, Inc.",,Open,3/30/2011,,20 to 99,1,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluence Energy,Fluence Energy,Open,1/17/2023,,"1,000 to 2,499",1,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluence Energy,"Fluence Energy, LLC",Open,3/17/2022,,100 to 499,3,CA, GA, VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fluence Energy, LLC",,Open,7/6/2018,,100 to 499,1,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluid Energy Controls,Fluid Energy Controls,Open,12/29/2021,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flyers Energy LLC,,Open,6/28/2021,,100 to 499,37,AZ, CA, NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flyers Energy, LLC",,Open,5/15/2017,,100 to 499,3,AZ, CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flynn Energy Transport Inc,,Open,7/10/2018,,100 to 499,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FM Energy Nutrition LLC,,Open,4/6/2022,,100 to 499,1,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes Energy Services, LLC.",,Terminated,11/29/2017,9/12/2018,500 to 999,25,PA, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Force Energy Group LLC,,Open,3/14/2021,,100 to 499,1,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Force Holdings, LLC","Force Energy Services, LLC",Terminated,4/17/2013,4/30/2021,100 to 499,2,LA, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Energy Corporation,,Open,1/16/2008,,20 to 99,3,AZ, CO, NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Energy Mendocino LLC,,Open,4/30/2019,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Form Energy Inc.,,Open,6/26/2018,,10 to 19,2,CA, MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Form Energy, Inc.",,Open,8/11/2021,,100 to 499,4,CA, MA, NC, PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Formula Energy Services, LLC",,Open,10/30/2018,,20 to 99,1,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortech Energy Inc,,Open,6/24/2013,,20 to 99,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortech Energy Inc.,Fortech Energy Inc.,Open,8/29/2016,,10 to 19,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortis Energy Services,,Open,1/28/2015,,100 to 499,3,MI, ND, OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortis Energy Services,,Open,12/14/2021,,100 to 499,4,MI, OH, TX, WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORTUNE ENERGY INC.,,Open,7/24/2017,,20 to 99,2,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortune Energy Wholesale LLC,Fortune Energy,Open,5/23/2022,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forum Energy Technologies,,Terminated,11/23/2011,5/14/2017,"1,000 to 2,499",8,LA, OK, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forum Energy Technologies,Forum Oilfield Technologies,Open,2/9/2012,,20 to 99,8,LA, OK, PA, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forum Energy Technology,,Open,10/4/2012,,"2,500 to 4,999",1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Energy Research Corporation,FERCo,Open,9/30/2014,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
four grands energy llc,,Open,11/29/2007,,20 to 99,1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FourPoint Energy, LLC",,Terminated,8/11/2017,5/14/2021,100 to 499,2,CO, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis Energy LLC,,Open,7/26/2021,,20 to 99,1,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS ENERGY MANAGEMENT CO LLC,,Open,5/4/2022,,20 to 99,1,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franklin Energy Services, LLC",,Open,10/7/2010,,"1,000 to 2,499",1,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franklin Energy Services, LLC",,Open,6/22/2020,,"1,000 to 2,499",1,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freedom Energy Resources,,Open,9/5/2017,,5 to 9,1,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Energy,,Open,2/10/2023,,20 to 99,1,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontier Energy,,Open,8/1/2019,,100 to 499,7,CA, NY, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontier Energy,Frontier Energy,Open,8/20/2018,,100 to 499,7,CA, NY, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontier Energy Inc,,Terminated,1/28/2020,1/18/2023,100 to 499,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frontier Energy Solutions, Inc.",,Open,11/2/2016,,10 to 19,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frontier Energy, Inc.",,Terminated,4/11/2017,3/22/2023,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontline BioEnergy LLC,,Open,3/16/2021,,20 to 99,1,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Cell and Hydrogen Energy Association,,Open,1/27/2015,,5 to 9,1,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FuelCell Energy Inc.,,Open,4/10/2012,,100 to 499,2,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FuelCell Energy, Inc",,Open,6/1/2022,,100 to 499,2,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fulcrum BioEnergy, Inc.",,Open,7/6/2017,,20 to 99,4,CA, NV, SC, VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fullers Energy LLC,,Open,4/28/2023,,5 to 9,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Futura Energy Group,,Open,2/6/2023,,10 to 19,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Future Energy Savers,,Open,2/27/2020,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Future Energy Solutions Contracts No.1 LLLP,,Open,11/25/2022,,20 to 99,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUTURE ENERGY SOLUTIONS SERVICES INC,,Open,3/7/2016,,20 to 99,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Future Energy Solutions Services LLC,,Open,10/14/2019,,20 to 99,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Future Food Energy LLC,,Terminated,5/1/2013,10/28/2020,500 to 999,1,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Future Power Corporation,Energy Conservation Options,Open,8/17/2010,,5 to 9,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FVB Energy Inc.,,Open,5/7/2020,,5 to 9,1,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G & B Oil Company, Incorporated",G & B Energy,Open,10/23/2013,,100 to 499,9,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G Energy LLC,,Open,10/12/2017,,20 to 99,1,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G5S Energy Services LLC,,Open,2/19/2020,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Energy & Marine Services,,Open,5/28/2015,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garkane Energy Cooperative,Garkane Energy,Open,5/17/2017,,20 to 99,1,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GATE 5 ENERGY PARTNERS, INC",,Open,8/20/2021,,5 to 9,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gateway Energy & Coke Company,,Terminated,5/18/2009,8/19/2009,100 to 499,1,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GCC Energy, LLC",,Open,4/18/2023,,100 to 499,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GCC Energy, LLC",,Open,1/28/2015,,100 to 499,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD Energy Products,GD Energy Products,Open,10/14/2014,,100 to 499,14,IL, LA, ND, OK, PA, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE Energy,General Electric Co.,Open,8/12/2015,,"10,000 and over",1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE Infrastructure-Energy,,Terminated,4/22/2008,3/2/2020,"10,000 and over",4,AZ, CO, MS, SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE Infrastructure-Energy,,Terminated,11/6/2008,3/2/2020,"2,500 to 4,999",1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE Renewable Energy,,Open,5/4/2022,,"10,000 and over",1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gen3 Energy Services, LLC",,Open,7/28/2016,,10 to 19,1,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Genco Energy Services, Inc.",,Open,2/26/2019,,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genera Energy Inc.,,Open,2/4/2021,,10 to 19,1,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genera Energy Inc.,,Open,12/16/2022,,20 to 99,1,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Energy Corp,,Open,9/14/2009,,10 to 19,1,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Generated Energy Solutions, LLC",Generated Energy Solutions LLC,Open,10/14/2020,,5 to 9,1,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genergy,,Open,9/30/2009,,20 to 99,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Genesis Energy, LLC",,Open,3/16/2020,,"1,000 to 2,499",10,AL, MS, PA, UT, WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Genesis Energy, LLC",,Terminated,9/12/2012,4/2/2020,100 to 499,4,AL, MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genie Energy,,Terminated,2/18/2014,3/26/2014,100 to 499,4,CO, NJ, NY, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genie Energy International Corporation,,Open,1/22/2021,,20 to 99,1,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GenOn Energy Services, LLC",,Terminated,12/2/2011,3/2/2020,"2,500 to 4,999",48,CA, DC, FL, GA, IL, IN, MA, MD, MS, NJ, NV, NY, OH, PA, TX, VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GenOn Energy, Inc.",,Terminated,11/19/2013,3/2/2020,"2,500 to 4,999",121,AZ, CA, CT, DC, DE, FL, IL, LA, MA, MD, MN, MS, NJ, NV, NY, OH, OR, PA, TX, VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genplant On-Site Energy LLC,,Open,10/6/2022,,20 to 99,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GenPro Energy Solutions,GenPro Energy Solutions,Open,10/26/2020,,20 to 99,1,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geo Energy Tech Services, LLC",,Open,4/1/2016,,10 to 19,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GGT Energy Solutions, Inc",,Open,8/20/2020,,5 to 9,2,IN, NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIC Duke Energy Edwardsport,,Terminated,11/25/2009,11/19/2021,100 to 499,1,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glacial Lakes Energy, LLC",,Open,5/25/2017,,100 to 499,2,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glacial Lakes Energy, LLC",,Open,9/28/2022,,100 to 499,4,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gladiator Energy LLC,,Open,1/28/2020,,100 to 499,18,CO, LA, ND, NM, OK, PA, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glendale Energy Capital, LLC",,Open,3/5/2018,,5 to 9,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Global Energy & Technology, Inc.",,Open,10/15/2010,,5 to 9,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Global Energy & Water Consulting, LLC",,Open,1/8/2014,,5 to 9,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Energy Efficiency Holdings,,Open,7/25/2013,,20 to 99,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Energy Monitor,,Open,3/25/2022,,20 to 99,1,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Global Energy Partners, LLC",,Open,1/28/2009,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Energy Services,,Terminated,8/28/2007,3/24/2021,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Global Energy Services, Inc.",,Open,6/3/2016,,20 to 99,5,AR, GA, LA, ME, OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Global Energy Services, LLC",,Open,12/8/2014,,100 to 499,1,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Global Environmental Solutions, Inc.","Global Energy Solutions, Inc.",Open,5/24/2016,,20 to 99,9,AL, DC, FL, LA, ME, MS, VA, WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Power Energy LLC,West Power Energy,Open,9/30/2019,,5 to 9,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Global Solar Energy, Inc.",,Terminated,1/2/2008,4/21/2023,100 to 499,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globe Energy Services,,Open,6/18/2015,,20 to 99,1,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glori Energy Inc,,Open,1/19/2012,,20 to 99,2,KS, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GMZ Energy, Inc",,Open,10/22/2014,,20 to 99,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GMZ Energy, Inc",,Terminated,4/15/2010,6/14/2013,10 to 19,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go Energy Financial CREDIT UNION,,Open,7/15/2013,,20 to 99,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Go Sustainable Energy, LLC",,Open,4/9/2014,,10 to 19,1,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Golden Grain Energy, LLC",,Open,12/16/2021,,20 to 99,1,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GOLDEN LEAF ENERGY, INC.",,Open,5/20/2013,,5 to 9,1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
